1413
242	1105	-203	1.7243305444717407	-6.436663534259424e-05
0	0	0
10	0	0
0	0	0
20	-2	-2
30	-4	-3
40	-7	-4
50	-9	-5
0	0	0
60	-12	-6
70	-14	-7
80	-16	-8
90	-18	-9
0	0	0
101	-20	-10
111	-21	-11
121	-21	-12
132	-22	-13
0	0	0
142	-22	-14
152	-22	-15
163	-22	-16
173	-22	-17
0	0	0
183	-22	-19
194	-22	-19
204	-22	-20
214	-22	-21
0	0	0
225	-22	-22
235	-22	-23
245	-22	-24
256	-22	-25
0	0	0
266	-22	-26
276	-21	-28
287	-20	-28
297	-20	-29
307	-19	-30
0	0	0
318	-18	-31
328	-16	-33
338	-15	-34
348	-14	-35
0	0	0
359	-12	-36
369	-11	-37
379	-10	-38
389	-8	-39
0	0	0
400	-7	-40
410	-5	-41
420	-2	-42
430	0	-43
0	0	0
440	2	-43
450	5	-44
459	9	-45
469	13	-47
0	0	0
478	18	-48
485	25	-49
0	0	0
489	35	-50
492	45	-51
490	55	-51
488	65	-51
0	0	0
485	75	-51
481	84	-51
476	93	-51
0	0	0
469	102	-51
462	109	-51
0	0	0
454	116	-52
446	121	-52
436	126	-52
427	131	-51
0	0	0
418	135	-50
409	140	-49
400	145	-49
391	150	-48
0	0	0
382	156	-47
374	162	-47
366	169	-47
358	175	-46
0	0	0
350	182	-45
343	190	-45
336	197	-44
329	205	-44
0	0	0
323	214	-44
317	222	-43
312	231	-43
0	0	0
308	241	-44
305	251	-44
302	261	-44
299	270	-44
0	0	0
297	281	-43
296	291	-44
296	301	-44
0	0	0
296	312	-44
296	322	-44
298	332	-45
300	342	-46
0	0	0
302	352	-46
305	362	-47
308	372	-48
312	382	-48
0	0	0
316	391	-48
320	401	-49
325	410	-50
330	419	-50
0	0	0
335	428	-51
340	437	-51
346	446	-52
352	454	-53
0	0	0
358	462	-54
364	471	-54
371	479	-55
378	487	-55
385	494	-56
0	0	0
391	502	-57
398	510	-58
404	518	-58
410	527	-59
0	0	0
417	535	-59
423	543	-60
429	551	-61
435	560	-61
0	0	0
441	568	-62
446	577	-63
452	586	-63
456	595	-64
0	0	0
460	605	-64
464	614	-65
467	625	-66
469	635	-66
0	0	0
469	645	-66
469	655	-67
468	666	-67
0	0	0
464	675	-67
459	684	-67
453	693	-67
0	0	0
446	701	-67
438	707	-67
0	0	0
430	713	-66
421	718	-67
411	723	-67
402	727	-67
0	0	0
393	732	-67
384	737	-67
375	742	-67
366	747	-66
0	0	0
357	753	-66
349	760	-66
341	766	-66
334	774	-66
0	0	0
327	781	-66
321	790	-66
317	799	-66
0	0	0
312	809	-66
314	819	-66
0	0	0
313	829	-67
314	840	-67
314	850	-67
315	860	-68
0	0	0
317	870	-68
319	880	-69
323	890	-70
327	900	-70
0	0	0
331	909	-71
335	919	-71
339	928	-72
343	938	-72
0	0	0
347	947	-73
351	957	-74
354	967	-74
357	977	-75
0	0	0
356	987	-75
0	0	0
347	991	-76
337	996	-76
328	999	-75
318	1003	-75
0	0	0
308	1005	-74
297	1006	-75
287	1006	-75
0	0	0
277	1005	-75
267	1003	-75
257	1000	-75
0	0	0
247	996	-76
238	991	-75
228	987	-75
219	983	-75
0	0	0
210	978	-75
200	974	-75
191	970	-75
181	966	-75
0	0	0
172	962	-75
162	958	-75
153	953	-75
143	949	-75
0	0	0
134	945	-76
125	941	-76
115	936	-77
106	931	-77
0	0	0
97	926	-77
88	921	-77
79	916	-78
71	910	-78
62	904	-78
0	0	0
54	898	-78
45	892	-78
37	886	-78
0	0	0
29	879	-79
21	872	-79
13	866	-78
5	860	-78
0	0	0
-2	853	-78
-10	847	-77
-18	840	-78
-26	833	-78
-33	826	-78
0	0	0
-41	819	-77
-49	812	-77
-56	805	-76
-64	798	-77
0	0	0
-72	791	-77
-80	785	-76
-87	778	-76
-95	771	-76
0	0	0
-102	763	-75
-110	756	-75
-117	749	-74
-125	742	-74
0	0	0
-132	735	-74
-139	727	-73
-146	720	-73
-153	712	-73
0	0	0
-160	704	-74
-166	696	-73
-172	688	-73
-178	679	-72
0	0	0
-182	670	-72
-186	660	-73
-186	650	-73
0	0	0
-185	639	-73
-183	629	-73
-178	620	-74
0	0	0
-172	612	-75
-165	604	-76
-156	599	-77
0	0	0
-147	593	-78
-138	589	-79
-128	586	-80
0	0	0
-118	585	-81
-107	587	-82
-97	589	-83
0	0	0
-88	595	-84
-80	601	-86
-72	608	-86
0	0	0
-65	615	-87
-58	623	-88
-53	632	-89
0	0	0
-49	641	-90
-45	651	-91
-41	660	-91
0	0	0
-35	669	-91
-29	677	-92
-23	685	-93
-15	692	-93
0	0	0
-7	698	-94
2	702	-96
11	707	-97
0	0	0
21	711	-98
30	714	-99
40	717	-101
0	0	0
51	719	-101
61	721	-103
71	722	-104
81	723	-105
92	723	-106
0	0	0
102	721	-106
112	719	-108
122	716	-109
0	0	0
132	712	-110
141	707	-111
150	702	-112
0	0	0
158	695	-114
165	688	-114
172	680	-116
0	0	0
178	672	-117
183	663	-118
188	654	-119
192	644	-119
0	0	0
195	634	-120
197	624	-120
200	614	-121
201	604	-121
0	0	0
202	594	-122
203	583	-123
203	573	-123
202	563	-124
0	0	0
201	552	-125
200	542	-125
199	532	-125
197	522	-125
0	0	0
195	511	-126
192	501	-126
190	491	-126
187	481	-126
0	0	0
183	472	-126
179	462	-126
175	453	-126
170	444	-125
0	0	0
164	435	-125
158	427	-124
151	419	-124
144	411	-123
0	0	0
136	404	-123
129	398	-123
120	391	-123
112	385	-122
0	0	0
103	380	-122
94	375	-121
85	370	-121
75	366	-121
0	0	0
65	363	-121
55	360	-121
45	358	-121
35	355	-121
0	0	0
25	353	-120
15	352	-119
5	350	-119
-5	349	-119
0	0	0
-15	348	-118
-25	348	-118
-35	348	-118
-46	348	-118
0	0	0
-56	348	-117
-66	348	-117
-77	349	-116
-87	350	-116
0	0	0
-97	351	-116
-108	352	-115
-118	353	-114
-128	354	-114
-138	356	-113
0	0	0
-149	357	-113
-159	359	-112
-169	360	-112
-180	361	-111
0	0	0
-190	360	-112
-198	354	-111
0	0	0
-205	347	-112
-213	340	-112
-217	330	-112
0	0	0
-221	321	-112
-224	311	-113
-225	300	-113
0	0	0
-226	290	-113
-226	280	-114
-225	269	-115
0	0	0
-223	259	-115
-222	249	-115
-221	239	-116
-220	228	-116
-219	218	-116
0	0	0
-219	208	-116
-220	197	-116
-220	187	-116
-221	177	-116
0	0	0
-222	166	-117
-223	156	-117
-225	146	-117
-226	136	-117
0	0	0
-227	126	-117
-229	115	-117
-230	105	-117
-232	95	-117
0	0	0
-233	85	-117
-235	75	-118
-237	64	-117
-241	55	-117
0	0	0
-243	45	-118
-246	35	-118
-243	25	-119
0	0	0
-236	16	-119
-228	11	-120
0	0	0
-219	5	-121
-211	-1	-121
-203	-7	-122
0	0	0
-194	-13	-123
-185	-17	-124
-175	-19	-124
0	0	0
-164	-19	-125
-154	-17	-125
-144	-15	-126
0	0	0
-134	-13	-128
-124	-10	-129
-114	-8	-129
-104	-7	-130
0	0	0
-93	-6	-131
-83	-5	-133
-73	-4	-133
-62	-4	-134
-52	-3	-136
0	0	0
-42	-3	-137
-31	-3	-138
-21	-4	-139
-11	-4	-140
0	0	0
0	-4	-142
9	-5	-143
19	-5	-144
30	-6	-145
0	0	0
40	-6	-146
50	-6	-147
61	-6	-148
71	-6	-149
0	0	0
81	-6	-150
92	-5	-151
102	-5	-152
112	-4	-153
0	0	0
123	-3	-154
133	-2	-155
143	-2	-156
154	-1	-156
0	0	0
164	0	-158
174	0	-159
184	1	-160
195	3	-161
205	4	-162
0	0	0
215	5	-163
225	7	-164
236	9	-165
246	10	-166
0	0	0
296	21	-170
306	24	-172
316	26	-172
326	29	-173
0	0	0
336	32	-174
346	33	-175
357	36	-176
366	39	-177
0	0	0
376	42	-177
386	47	-178
395	52	-178
0	0	0
400	60	-179
405	70	-180
405	80	-181
0	0	0
405	90	-181
403	101	-182
0	0	0
400	110	-182
396	120	-182
391	129	-182
0	0	0
385	137	-182
378	145	-182
370	151	-182
0	0	0
361	156	-181
351	160	-181
341	164	-181
0	0	0
332	167	-180
322	171	-180
313	175	-179
303	180	-179
294	185	-178
0	0	0
285	190	-178
277	196	-177
268	202	-176
260	208	-175
0	0	0
252	214	-175
244	221	-174
237	229	-174
230	236	-174
0	0	0
223	244	-173
217	252	-173
211	261	-172
206	270	-172
0	0	0
202	280	-172
198	289	-171
195	299	-171
0	0	0
193	309	-172
191	319	-172
190	330	-172
190	340	-173
0	0	0
191	350	-174
191	361	-174
193	371	-174
194	381	-175
0	0	0
197	391	-175
200	401	-176
203	411	-177
206	421	-178
0	0	0
210	430	-178
214	440	-179
219	449	-179
223	459	-180
0	0	0
228	468	-180
233	477	-181
238	486	-182
244	495	-182
250	503	-183
0	0	0
255	511	-183
261	520	-184
267	529	-185
274	537	-185
0	0	0
280	545	-186
286	553	-186
292	562	-187
298	570	-187
0	0	0
304	579	-188
309	587	-189
315	596	-189
320	605	-190
0	0	0
325	614	-190
330	623	-190
335	632	-191
339	642	-191
0	0	0
343	651	-191
346	661	-192
348	672	-192
348	682	-193
346	692	-193
342	702	-194
0	0	0
337	711	-194
331	719	-194
325	727	-194
0	0	0
317	734	-194
308	740	-194
299	745	-194
0	0	0
290	749	-194
280	753	-193
271	757	-193
261	761	-192
0	0	0
252	765	-192
